Index,Name,Price
KO,Coca-Cola Co,$47.24
KOS,Kosmos Energy Ltd,$1.61
KR,Kroger Co,$34.79
KSS,Kohl's Corporation,$19.04
KT,KT Corp,$9.86
KTOS,"Kratos Defense & Security Solutions, Inc",$18.01
LB,L Brands Inc,$24.41
LDOS,Leidos Holdings Inc,$95.16
LEN,Lennar Corporation,$72.35
LEVI,Levi Strauss & Co.,$12.16
LK,#N/A,#N/A
LKQ,LKQ Corporation,$28.19
LLY,Eli Lilly And Co,$150.29
LMT,Lockheed Martin Corporation,$378.97
LNG,"Cheniere Energy, Inc.",$49.48
LOMA,Loma Negra Compania Indl Argentina SA,$5.08
LOW,Lowe`s Companies Inc,$148.91
LPI,Laredo Petroleum Inc,$15.16
LPL,LG Display Co Ltd.,$5.31
LRCX,Lam Research Corporation,$377.16
LSCC,Lattice Semiconductor Corp,$31.09
LTC,LTC Properties Inc,$37.15
LTHM,Livent Corp,$6.27
LTM,M.U.L.-LYXOR MSCI E/SH EUR,$20.50
LULU,Lululemon Athletica Inc,$325.59
LUV,Southwest Airlines Co,$30.89
LVS,Las Vegas Sands Corp.,$43.64
LX,LexinFintech Holdings Ltd - ADR,$8.51
LXRX,"Lexicon Pharmaceuticals, Inc.",$1.94
LYFT,LYFT Inc,$29.23
LYV,"Live Nation Entertainment, Inc.",$46.81
M,Macy's Inc,$6.06
MA,Mastercard Inc,$308.53
MAR,Marriott International Inc,$83.83
MAS,Masco Corp,$57.16
MAT,Mattel Inc,$11.11
MBT,Mobil'nye Telesistemy PAO,$8.86
MCD,Mcdonald's Corp,$194.28
MCHP,Microchip Technology Inc.,$101.73
MCO,Moody's Corporation,$281.30
MDLZ,MONDELEZ INTERNATIONAL INC Common Stock,$55.49
MDR,Medadvisor Ltd,$0.48
MDRX,Allscripts Healthcare Solutions Inc,$9.00
MDT,Medtronic PLC,$96.48
MELI,Mercadolibre Inc,"$1,124.62"
MET,Metlife Inc,$37.85
MFA,"MFA Financial, Inc.",$2.63
MFG,Mizuho Financial Group Inc.,$2.50
MGI,Moneygram International Inc,$3.48
MGM,MGM Resorts International,$16.09
MIK,Michaels Companies Inc,$7.18
MLCO,Melco Resorts & Entertainment Ltd,$16.46
MMC,"Marsh & McLennan Companies, Inc.",$116.60
MMM,3M Co,$150.47
MNST,Monster Beverage Corp,$78.48
MO,Altria Group Inc,$41.15
MOMO,Momo Inc,$18.47
MORN,"Morningstar, Inc.",$168.04
MOS,Mosaic Co,$13.47
MPC,Marathon Petroleum Corp,$38.20
MPLX,MPLX LP,$18.27
MPW,"Medical Properties Trust, Inc.",$20.13
MRK,"Merck & Co., Inc.",$80.24
MRO,Marathon Oil Corporation,$5.49
MRVL,Marvell Technology Group Ltd.,$36.47
MS,Morgan Stanley,$48.88
MSFT,Microsoft Corporation,$205.01
MSI,Motorola Solutions Inc,$139.80
MTCH,Match Group Inc,$102.70
MTDR,Matador Resources Co,$8.68
MTG,MGIC Investment Corp.,$8.27
MU,"Micron Technology, Inc.",$50.06
MUFG,Mitsubishi UFJ Financial Group Inc,$3.74
MUR,Murphy Oil Corporation,$13.21
MUX,McEwen Mining Inc,$1.38
MXIM,Maxim Integrated Products Inc.,$68.09
MYL,Mylan NV,$16.11
NAVI,Navient Corp,$7.96
NBEV,New Age Beverages Corp,$2.27
NBIX,"Neurocrine Biosciences, Inc.",$120.36
NBL,"Noble Energy, Inc.",$9.99
NBR,Nabors Industries Ltd.,$42.41
NCLH,Norwegian Cruise Line Holdings Ltd,$13.64
NDAQ,Nasdaq Inc,$131.31
NEE,NextEra Energy Inc,$280.70
NEM,Newmont Corporation,$69.20
NET,Cloudflare Inc,$41.62
NFLX,Netflix Inc,$488.88
NIO,Nio Inc - ADR,$11.94
NKE,Nike Inc,$97.61
NKTR,Nektar Therapeutics,$22.16
NLOK,NortonLifeLock Inc,$21.45
NLY,"Annaly Capital Management, Inc.",$7.41
NMR,Nomura Holdings Inc,$4.69
NOAH,Noah Holdings Limited,$30.47
NOC,Northrop Grumman Corporation,$325.01
NOV,"National-Oilwell Varco, Inc.",$11.51
NPTN,NeoPhotonics Corp,$9.11
NRG,NRG Energy Inc,$33.81
NRZ,New Residential Investment Corp,$7.93
NSC,Norfolk Southern Corp.,$192.21
NTAP,NetApp Inc.,$44.30
NTES,NetEase Inc,$458.42
NTNX,Nutanix Inc,$22.19
NTRS,Northern Trust Corporation,$78.35
NUE,Nucor Corporation,$41.95
NUVA,"NuVasive, Inc.",$57.14
NVCR,Novocure Ltd,$75.79
NVDA,NVIDIA Corporation,$424.59
NVTA,InVitae Corp,$29.20
NWL,Newell Brands Inc,$16.40
NWSA,News Corp Class A,$12.72
NYCB,"New York Community Bancorp, Inc.",$10.53
NYMT,New York Mortgage Trust Inc,$2.62
NYT,New York Times Co,$46.14
O,Realty Income Corp,$60.05
OAS,Oasis Petroleum Inc.,$0.64
ODP,ODP Corp,$22.07
OKE,"ONEOK, Inc.",$27.91
OKTA,Okta Inc,$220.98
OLN,Olin Corporation,$11.24
OMC,Omnicom Group Inc.,$53.73
ON,ON Semiconductor Corp,$20.60
ONCE,#N/A,#N/A
ONVO,Organovo Holdings Inc,$0.66
OPK,Opko Health Inc.,$5.15
ORCL,Oracle Corporation,$55.45
ORLY,O'Reilly Automotive Inc,$477.38
OSTK,Overstock.com Inc,$75.59
OXY,Occidental Petroleum Corporation,$15.74
PAA,"Plains All American Pipeline, L.P.",$7.64
PAAS,Pan American Silver Corp.,$37.36
PAM,Pampa Energia S.A.,$10.94
PANW,Palo Alto Networks Inc,$255.92
PAYX,"Paychex, Inc.",$71.92
PBCT,"People's United Financial, Inc.",$10.79
PBF,PBF Energy Inc,$8.68
PBH,Prestige Consumer Healthcare Inc,$37.19
PBI,Pitney Bowes Inc.,$3.34
PBR,PETROLEO BRASIL/ADR,$8.67
PCAR,PACCAR Inc,$85.08
PCG,PG&E Corporation,$9.35
PD,Pagerduty Inc,$30.48
PDD,Pinduoduo Inc - ADR,$91.80
PE,Parsley Energy Inc,$10.98
PEG,Public Service Enterprise Group Inc.,$55.94
PEP,"PepsiCo, Inc.",$137.66
PFE,Pfizer Inc.,$38.48
PFPT,Proofpoint Inc,$115.67
PG,Procter & Gamble Co,$131.12
PGR,Progressive Corp,$90.34
PH,Parker-Hannifin Corp,$178.92
PHM,"PulteGroup, Inc.",$43.60
PINS,Pinterest Inc,$34.29
PLAN,Anaplan Inc,$45.41
PLD,Prologis Inc,$105.42
PLUG,Plug Power Inc,$7.71
PM,Philip Morris International Inc.,$76.81
PNC,PNC Financial Services Group Inc,$106.67
PPG,"PPG Industries, Inc.",$107.65
PPL,PPL Corp,$26.62
PRI,"Primerica, Inc.",$119.66
PRU,Prudential Financial Inc,$63.37
PS,Pluralsight Inc,$21.17
PSA,Public Storage,$199.88
PSTG,Pure Storage Inc,$17.86
PSX,Phillips 66,$62.02
PTEN,"Patterson-UTI Energy, Inc.",$3.88
PTON,Peloton Interactive Inc,$68.22
PVTL,#N/A,#N/A
PWR,Quanta Services Inc,$39.97
PXD,Pioneer Natural Resources Co,$96.92
PYPL,Paypal Holdings Inc,$196.07
QCOM,"QUALCOMM, Inc.",$105.61
QD,Qudian Inc - ADR,$1.62
QEP,QEP Resources Inc,$1.47
QLYS,Qualys Inc,$123.48
QRTEA,Qurate Retail Inc Series A,$10.91
QSR,Restaurant Brands International Inc,$56.52
QTWO,Q2 Holdings Inc,$94.05
RACE,Ferrari NV,$181.70
RAD,Rite Aid Corporation,$15.16
RCL,Royal Caribbean Cruises Ltd,$48.71
REAL,RealReal Inc,$13.64
REGI,Renewable Energy Group Inc,$27.58
REGN,Regeneron Pharmaceuticals Inc,$632.07
RES,"RPC, Inc.",$2.97
RF,Regions Financial Corp,$10.86
RL,Ralph Lauren Corp,$71.30
RLGY,Realogy Holdings Corp,$9.06
RMD,ResMed Inc.,$202.51
RNG,RingCentral Inc,$290.27
ROK,Rockwell Automation,$218.14
ROKU,Roku Inc,$154.89
ROST,"Ross Stores, Inc.",$89.67
RRC,Range Resources Corp.,$6.46
RTN,Restaurant Group PLC,$42.36
RUN,Sunrun Inc,$36.69
RY,Royal Bank of Canada,$69.09
S,Sherritt International Corp,$0.18
SBGL,#N/A,#N/A
SBH,"Sally Beauty Holdings, Inc.",$11.61
SBS,Companhia de Saneamento Bsc DEDSP,$11.56
SBUX,Starbucks Corporation,$76.53
SCCO,Southern Copper Corp,$43.71
SCHW,Charles Schwab Corporation Common Stock,$33.15
SENS,Senseonics Holdings Inc,$0.48
SFIX,Stitch Fix Inc,$22.15
SFM,Sprouts Farmers Market Inc,$26.38
SGMO,Sangamo Therapeutics Inc,$10.83
SHAK,Shake Shack Inc,$48.55
SHOP,Shopify Inc,"$1,024.00"
SHW,Sherwin-Williams Co,$647.92
SID,Companhia Siderurgica Nacional,$2.31
SIRI,Sirius XM Holdings Inc,$5.88
SKT,Tanger Factory Outlet Centers Inc.,$6.43
SKX,Skechers USA Inc,$29.28
SLB,Schlumberger NV,$18.14
SLCA,U.S. Silica Holdings Inc,$3.53
SLM,SLM Corp,$6.77
SM,SM Energy Co,$2.95
SMAR,Smartsheet Inc,$47.74
SMFG,"Sumitomo Mitsui Financial Grp, Inc.",$5.35
SNAP,Snap Inc,$22.42
SNE,Sony Corp,$77.96
SNH,Steinhoff International Holdings NV,$0.05
SNPS,"Synopsys, Inc.",$199.22
SO,Southern Co,$54.61
SOGO,Sogou Inc,$8.62
SPCE,Virgin Galactic Holdings Inc,$22.45
SPG,Simon Property Group Inc,$62.35
SPGI,S&P Global Inc,$350.25
SPLK,Splunk Inc,$209.82
SPOT,Spotify Technology SA,$257.82
SPWR,SunPower Corporation,$9.33
SQ,Square Inc,$129.85
SQM,Sociedad Quimica y Minera de Chile,$30.55
SRCI,#N/A,#N/A
SRE,Sempra Energy,$124.46
SSNC,"SS&C Technologies Holdings, Inc.",$57.50
SSSS,NeXt Innovation Corp common stock,$12.61
STAY,#N/A,#N/A
STI,#N/A,#N/A
STLD,"Steel Dynamics, Inc.",$27.41
STNE,StoneCo Ltd,$47.71
STT,State Street Corp,$63.79
STX,Seagate Technology PLC,$45.22
STZ,"Constellation Brands, Inc. Class A",$178.20
SU,Suncor Energy Inc.,$15.76
SUPV,Grupo Supervielle SA -ADR,$2.88
SWK,"Stanley Black & Decker, Inc.",$153.32
SWKS,Skyworks Solutions Inc,$145.58
SWN,Southwestern Energy Company,$2.43
SYF,Synchrony Financial,$22.13
SYK,Stryker Corporation,$193.30
SYY,SYSCO Corporation,$52.85
T,AT&T Inc.,$29.58
TAK,Takeda Pharmaceutical Co Ltd,$18.20
TAL,TAL Education Group,$78.17
TCOM,Trip.com Group Ltd,$27.20
